file,start,end,speaker,gender,age,birth_year,prompt,emotion,duration
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:05.026000,0 days 00:00:07.838000,M_26,male,34,1991,mf,unknown,2.8120000000000003
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:14.978000,0 days 00:00:20.702000,M_26,male,34,1991,mf,unknown,5.724
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:20.866000,0 days 00:00:23.454000,M_26,male,34,1991,mf,unknown,2.588
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:37.410000,0 days 00:00:41.406000,M_26,male,34,1991,mf,unknown,3.996
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:43.522000,0 days 00:00:48.862000,M_26,male,34,1991,mf,unknown,5.34
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:00.994000,0 days 00:01:03.998000,M_26,male,34,1991,mf,unknown,3.004
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:05.506000,0 days 00:01:09.534000,M_26,male,34,1991,mf,unknown,4.028
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:13.314000,0 days 00:01:16.478000,M_26,male,34,1991,mf,unknown,3.164
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:18.786000,0 days 00:01:25.214000,M_26,male,34,1991,mf,unknown,6.428
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:29.378000,0 days 00:01:32.862000,M_26,male,34,1991,mf,unknown,3.484
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:48.578000,0 days 00:01:51.006000,M_26,male,34,1991,mf,unknown,2.428
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:01.858000,0 days 00:00:04.478000,M_26,male,34,1991,mi,unknown,2.62
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:09.570000,0 days 00:00:14.014000,M_26,male,34,1991,mi,unknown,4.444
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:14.530000,0 days 00:00:19.102000,M_26,male,34,1991,mi,unknown,4.572
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:20.834000,0 days 00:00:24.190000,M_26,male,34,1991,mi,unknown,3.356
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:24.450000,0 days 00:00:30.238000,M_26,male,34,1991,mi,unknown,5.788
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:32.034000,0 days 00:00:34.846000,M_26,male,34,1991,mi,unknown,2.8120000000000003
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:39.138000,0 days 00:00:42.462000,M_26,male,34,1991,mi,unknown,3.324
